

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
126.720  000.946  000.166: require('mason-core.fetch')
126.841  000.119  000.119: require('mason-core.providers')
127.515  000.294  000.294: require('mason-core.purl')
127.531  000.596  000.301: require('mason-core.package')
128.198  000.158  000.158: require('mason-core.installer.registry.expr')
128.209  000.439  000.281: require('mason-core.installer.registry.link')
129.314  000.156  000.156: require('mason-core.receipt')
129.337  000.500  000.343: require('mason-core.installer.context')
129.497  000.157  000.157: require('mason-core.async.control')
129.687  000.188  000.188: require('mason-core.installer.linker')
129.693  001.114  000.268: require('mason-core.installer')
129.712  001.372  000.259: require('mason-core.installer.managers.std')
129.714  001.503  000.131: require('mason-core.installer.registry.schemas')
129.844  000.129  000.129: require('mason-core.installer.registry.util')
129.881  002.349  000.278: require('mason-core.installer.registry')
129.885  003.042  000.097: require('mason-registry.sources.util')
129.894  004.497  000.212: require('mason-registry.sources.github')
135.753  000.092  000.092: require('mason-core.functional.number')
135.778  000.327  000.234: require('mason-lspconfig.api.command')
136.060  000.134  000.134: require('cmp_nvim_lsp.source')
136.064  000.283  000.149: require('cmp_nvim_lsp')
136.193  000.125  000.125: require('lspconfig')
136.317  000.120  000.120: require('lspconfig.server_configurations.lua_ls')
137.341  000.278  000.278: require('lspconfig.manager')
137.492  000.145  000.145: require('lspconfig.server_configurations.clangd')
138.396  000.247  000.247: require('lspconfig.server_configurations.jdtls')
138.921  000.119  000.119: require('lspconfig.server_configurations.tsserver')
139.660  000.304  000.304: require('lspconfig.server_configurations.rust_analyzer')
140.499  000.153  000.153: require('lspconfig.server_configurations.pyright')
140.991  000.128  000.128: require('lspconfig.server_configurations.r_language_server')
141.154  000.072  000.072: require('mason-lspconfig.server_configurations.r_language_server')
141.306  000.102  000.102: require('lspconfig.server_configurations.asm_lsp')
141.635  029.084  009.603: require('core.plugin_config.lsp_config')
143.102  000.047  000.047: require('luasnip.util.types')
143.148  000.043  000.043: require('luasnip.util.lazy_table')
143.241  000.090  000.090: require('luasnip.extras.filetype_functions')
143.265  000.419  000.239: require('luasnip.default_config')
143.268  000.485  000.066: require('luasnip.session')
143.280  000.898  000.413: require('luasnip.util.util')
143.845  000.118  000.118: require('luasnip.util.ext_opts')
143.891  000.043  000.043: require('luasnip.nodes.key_indexer')
143.900  000.618  000.457: require('luasnip.nodes.util')
144.205  000.055  000.055: require('luasnip.session.snippet_collection.source')
144.255  000.047  000.047: require('luasnip.util.table')
144.324  000.067  000.067: require('luasnip.util.auto_table')
144.336  000.434  000.264: require('luasnip.session.snippet_collection')
144.817  000.149  000.149: require('luasnip.util.select')
144.863  000.043  000.043: require('luasnip.util.time')
145.131  000.653  000.461: require('luasnip.util._builtin_vars')
145.300  000.963  000.309: require('luasnip.util.environ')
145.390  000.087  000.087: require('luasnip.util.extend_decorator')
145.802  000.243  000.243: require('luasnip.util.path')
146.207  000.150  000.150: require('luasnip.util.log')
146.219  000.413  000.264: require('luasnip.loaders.util')
146.272  000.051  000.051: require('luasnip.loaders.data')
146.715  000.440  000.440: require('luasnip.loaders.fs_watchers')
146.723  001.330  000.183: require('luasnip.loaders')
146.894  000.140  000.140: require('luasnip.config')
146.898  005.161  000.691: require('luasnip')
147.968  000.095  000.095: require('cmp.utils.debug')
148.384  000.216  000.216: require('cmp.utils.char')
148.393  000.422  000.206: require('cmp.utils.str')
149.083  000.235  000.235: require('cmp.utils.misc')
149.184  000.098  000.098: require('cmp.utils.buffer')
149.338  000.151  000.151: require('cmp.utils.api')
149.345  000.799  000.314: require('cmp.utils.keymap')
149.349  000.954  000.155: require('cmp.utils.feedkeys')
150.356  000.111  000.111: require('cmp.types.cmp')
150.597  000.237  000.237: require('cmp.types.lsp')
150.677  000.077  000.077: require('cmp.types.vim')
150.679  000.517  000.092: require('cmp.types')
150.685  000.764  000.247: require('cmp.config.mapping')
150.794  000.107  000.107: require('cmp.utils.cache')
151.242  000.279  000.279: require('cmp.config.compare')
151.245  000.446  000.167: require('cmp.config.default')
151.267  001.612  000.295: require('cmp.config')
151.285  001.934  000.323: require('cmp.utils.async')
151.543  000.099  000.099: require('cmp.utils.pattern')
151.549  000.262  000.163: require('cmp.context')
152.747  000.257  000.257: require('cmp.matcher')
152.756  000.821  000.565: require('cmp.entry')
152.762  001.212  000.390: require('cmp.source')
153.177  000.105  000.105: require('cmp.utils.event')
153.843  000.095  000.095: require('cmp.utils.options')
153.850  000.475  000.380: require('cmp.utils.window')
153.853  000.673  000.198: require('cmp.view.docs_view')
154.490  000.125  000.125: require('cmp.utils.autocmd')
154.501  000.647  000.522: require('cmp.view.custom_entries_view')
154.831  000.328  000.328: require('cmp.view.wildmenu_entries_view')
155.060  000.226  000.226: require('cmp.view.native_entries_view')
155.260  000.198  000.198: require('cmp.view.ghost_text_view')
155.274  002.510  000.334: require('cmp.view')
155.641  008.292  000.903: require('cmp.core')
155.897  000.098  000.098: require('cmp.config.sources')
155.994  000.093  000.093: require('cmp.config.window')
156.062  009.162  000.679: require('cmp')
157.074  015.435  001.112: require('core.plugin_config.completions')
157.078  135.536  000.082: require('core.plugin_config')
157.081  139.067  000.030: sourcing /home/nightwng120/.config/nvim/init.lua
157.090  001.366: sourcing vimrc file(s)
157.687  000.026  000.026: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/cls.vim
157.727  000.019  000.019: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/vimtex/ftdetect/tex.vim
